Project_ID,Update_Day,Planned_Cost,Planned_Labour,Planned_Material,Actual_Cost,Actual_Labour,Actual_Material,%Work_Completed,External_Delay,Internal_Delay,Delay_Label
PROJ_00001,2025-07-13,688648414851.64,116,367674415879.07,747991707153.59,134,434431520008.89,59.69,4,1,False
PROJ_00002,2024-01-20,2931374804577.66,262,1259270264756.4,2051962363204.362,215,881489185329.4799,29.12,4,3,False
PROJ_00003,2023-10-23,132857729525.42,62,49060127687.71,93000410667.79399,50,34342089381.396996,24.1,5,3,True
PROJ_00004,2024-07-05,12455449746.64,493,5970768865.87,12151665801.02,598,6012719476.03,92.19,2,2,False
PROJ_00005,2024-06-04,547349239636.11,50,212854295312.27,383144467745.277,44,148998006718.589,16.53,1,2,False
PROJ_00006,2024-05-13,667622910673.73,499,272082853122.37,467336037471.61096,577,190457997185.659,11.59,4,5,True
PROJ_00007,2024-02-17,3080388509155.82,368,961481902126.18,3615815864702.85,393,923905619695.38,71.07,4,3,False
PROJ_00008,2024-01-10,400730997185.67,252,139601209318.36,537303714060.85,265,143122412633.23,92.97,10,4,True
PROJ_00009,2025-08-20,180618116835.12,181,67413482680.47,126432681784.58398,209,47189437876.328995,16.83,3,2,False
PROJ_00010,2025-04-08,296810103401.01,352,113854556779.02,354536769717.96,392,124108174428.62,90.83,4,4,True
PROJ_00011,2023-12-26,87243093488.91,106,30117647480.25,110597153114.85,113,33392499510.74,50.82,7,6,True
PROJ_00012,2025-05-24,127898270367.51,121,59672248163.32,149353697891.78,106,69790647904.78,52.97,5,6,True
PROJ_00013,2024-12-03,507384113963.99,358,195432331850.09,355168879774.79297,419,136802632295.06299,30.54,4,2,False
PROJ_00014,2023-10-30,612064341990.29,452,251139021908.79,428445039393.203,367,175797315336.15298,26.52,8,2,True
PROJ_00015,2023-10-28,271363986876.94,190,127999065891.24,313163289427.7,189,147616707329.94,98.03,2,2,False
PROJ_00016,2024-01-01,847531879415.62,160,289877264437.54,1044142251063.75,135,311178617598.94,51.83,11,6,True
PROJ_00017,2024-05-08,308032536371.58,72,183141442653.36,328527088688.62,92,189950558799.94,83.89,3,3,False
PROJ_00018,2024-05-23,181736331730.32,359,83996812660.89,215139880179.61,459,96663031066.07,63.74,7,0,False
PROJ_00019,2025-02-26,102712211186.35,67,59014751057.69,71898547830.445,72,41310325740.382996,44.24,2,6,True
PROJ_00020,2025-06-05,196483839904.66,229,61656784696.46,137538687933.262,253,43159749287.521996,4.07,5,2,False
PROJ_00021,2023-10-25,269627508469.19,259,156392284359.4,337960157804.42,242,150821080712.42,50.1,10,5,True
