Project_ID,Update_Day,Planned_Cost,Planned_Labour,Planned_Material,Actual_Cost,Actual_Labour,Actual_Material,%Work_Completed,External_Delay,Internal_Delay,Delay_Label
PROJ_00001,2025-07-13,677743745756.7837,116,374815550109.4621,751592051756.162,134,434514356380.94745,59.82263688853912,4,1,False
PROJ_00002,2024-01-20,2939653198280.0767,262,1251188029673.6987,2039391832404.81,215,883745252756.9481,28.793472334420326,4,3,False
PROJ_00003,2023-10-23,127334293337.65247,62,49437938004.17425,87209137234.43953,50,32984788531.99298,24.320743838938245,5,3,True
PROJ_00004,2024-07-05,0.0,493,5728813156.792792,0.0,598,9514786423.51421,92.28837472668008,2,2,False
PROJ_00005,2024-06-04,533231013523.1617,50,217099141212.96326,372983699864.71045,44,154814615233.13705,16.663948099211577,1,2,False
PROJ_00006,2024-05-13,675758841832.0253,499,272839949387.02036,452499188356.81305,577,187561634909.0073,11.446980430887571,4,5,True
PROJ_00007,2024-02-17,3050708811194.201,368,960767232246.0167,3615963180714.546,393,925726566203.2258,71.18027498849655,4,3,False
PROJ_00008,2024-01-10,388936013957.9939,252,137541523408.09247,563359942055.7079,265,144267191944.54404,93.09637561779539,10,4,True
PROJ_00009,2025-08-20,196984686911.478,181,62029056447.366,134838792578.23,209,45603657310.1208,16.738722126653816,3,2,False
PROJ_00010,2025-04-08,292792691351.6098,352,112955546250.03949,329711052684.0423,392,115243576045.00154,90.93925587048955,4,4,True
PROJ_00011,2023-12-26,95601380896.99005,106,36423792852.88081,93813731299.2193,113,35039603696.27668,50.80064464306472,7,6,True
PROJ_00012,2025-05-24,132885563641.4085,121,58124624022.99104,134990061458.13701,106,71948712258.481,52.88349076138956,5,6,True
PROJ_00013,2024-12-03,505157335866.8862,358,203043769142.19547,335758650936.6204,419,141858873973.6888,30.512478852870252,4,2,False
PROJ_00014,2023-10-30,592711156645.4585,452,255095610493.17023,425321142631.9369,367,174239262970.90057,26.5435740627289,8,2,True
PROJ_00015,2023-10-28,255896119087.6738,190,130578570200.07924,315693077757.4787,189,144514618530.68335,97.98760708225204,2,2,False
PROJ_00016,2024-01-01,831867441074.0483,160,289001389992.74786,1029843281253.2623,135,306925568206.6182,51.71907538280477,11,6,True
PROJ_00017,2024-05-08,313656237363.4636,72,179740154431.61182,326060462981.3363,92,176007838218.0317,83.94505057117432,3,3,False
PROJ_00018,2024-05-23,189547793707.57758,359,93098474404.59532,217575198895.39307,459,94780954057.6854,63.818421700542395,7,0,False
PROJ_00019,2025-02-26,92459783112.55702,67,63310055608.79835,79628461419.29524,72,54175514649.08663,44.26045670639436,2,6,True
PROJ_00020,2025-06-05,195564871859.97668,229,60902382942.36704,139265043629.3746,253,49070074025.39229,3.8433900494266715,5,2,False
PROJ_00021,2023-10-25,269722176177.72748,259,165588809731.969,341614035335.953,242,146207071842.50787,50.018102149836466,10,5,True
PROJ_00022,2025-04-24,175407278260.02216,251,91507591583.92918,121732805513.51549,288,59278560983.15687,7.001747908126763,2,2,False
PROJ_00023,2024-04-18,553773299744.6199,286,324436812383.35077,685434545533.9512,334,320227084520.444,55.042516778457895,5,4,True
PROJ_00024,2025-07-24,863773353868.7156,93,460513999532.6525,582466920276.1902,118,330479466197.7555,32.01651627162543,2,2,False
PROJ_00025,2025-09-15,5764702713597.996,382,1889350424692.9795,8197569380481.431,348,1931574159879.4346,60.20074166695442,8,8,True
PROJ_00026,2025-04-08,31335902221.39542,145,20727456315.38671,37912214319.165764,116,9214966123.174662,36.981726833025256,8,2,True
PROJ_00027,2024-11-30,524403463610.8925,10,280295989278.68555,355071163287.0656,12,188486905122.43152,23.73250841600861,4,4,True
PROJ_00028,2024-05-10,1148936833892.4404,450,529564796204.86786,1277372195861.3936,402,552552032150.888,63.04528544674398,5,5,True
PROJ_00029,2024-12-30,1543137369340.0574,229,631200863076.2682,1060806382665.6196,191,439432061868.92346,25.733641147421668,2,3,False
PROJ_00030,2025-05-23,4086055303718.1562,418,1737547280701.4612,3801254938589.8984,458,1767006071329.3254,93.30224481848767,2,3,False
PROJ_00031,2024-07-08,276856963371.69086,108,88840685079.0052,203458455408.71222,99,65774658149.066795,1.2993091067774534,7,2,True
